Dry Ice plant,Receiving DC,Leave day of week,Arrival day of week SOLO drive,Arrival day of week TEAM drive
Muscatine,JAX,monday,,
Muscatine,JAX,tuesday,,Wednesday
Muscatine,JAX,wednesday,,
Muscatine,JAX,thursday,,
Muscatine,JAX,friday,Sunday,
Muscatine,JAX,saturday,Monday,
Muscatine,JAX,sunday,Tuesday,
Muscatine,NWC,monday,,
Muscatine,NWC,tuesday,,Wednesday
Muscatine,NWC,wednesday,,
Muscatine,NWC,thursday,,
Muscatine,NWC,friday,Sunday,
Muscatine,NWC,saturday,Monday,Sunday
Muscatine,NWC,sunday,,
Muscatine,WAU,monday,,
Muscatine,WAU,tuesday,Tuesday,
Muscatine,WAU,wednesday,,
Muscatine,WAU,thursday,,
Muscatine,WAU,friday,,
Muscatine,WAU,saturday,,
Muscatine,WAU,sunday,Sunday,
OKC Dry Ice,SPW,monday,,
OKC Dry Ice,SPW,tuesday,,
OKC Dry Ice,SPW,wednesday,,
OKC Dry Ice,SPW,thursday,Sunday,
OKC Dry Ice,SPW,friday,Monday,
OKC Dry Ice,SPW,saturday,,
OKC Dry Ice,SPW,sunday,,
OKC Dry Ice,OKC,monday,monday,
OKC Dry Ice,OKC,tuesday,,
OKC Dry Ice,OKC,wednesday,wednesday,
OKC Dry Ice,OKC,thursday,thursday,
OKC Dry Ice,OKC,friday,,
OKC Dry Ice,OKC,saturday,,
OKC Dry Ice,OKC,sunday,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
